"R0000100","R0009600","R0173600","R0214700","R0214800"
3281,20,4,1,1
3282,15,4,1,1
3283,28,4,1,1
3284,6,1,3,1
3285,15,8,1,2
3286,15,8,1,2
3287,3,5,3,2
3288,19,8,1,2
3289,28,1,3,1
3290,28,1,3,1
3291,28,5,3,2
3292,3,5,3,2
3293,11,5,3,2
3294,3,5,3,2
3295,3,5,3,2
3296,6,1,3,1
3297,1,3,2,1
3298,21,8,1,2
3299,20,8,1,2
3300,20,8,1,2
3301,20,4,1,1
3302,20,4,1,1
3303,24,5,3,2
3304,6,8,1,2
3305,5,8,1,2
3306,1,7,2,2
3307,1,3,2,1
3308,1,7,2,2
3309,1,7,2,2
3310,1,3,2,1
3311,1,3,2,1
3312,1,7,2,2
3313,11,2,3,1
3314,11,2,3,1
3315,1,7,2,2
3316,1,7,2,2
3317,1,7,2,2
3318,1,3,2,1
3319,28,2,3,1
3320,5,6,3,2
3321,3,6,3,2
3322,1,7,2,2
3323,1,3,2,1
3324,1,3,2,1
3325,1,7,2,2
3326,1,3,2,1
3327,1,3,2,1
3328,3,1,3,1
3329,6,1,3,1
3330,6,1,3,1
3331,6,1,3,1
3332,3,5,3,2
3333,6,1,3,1
3334,1,3,2,1
3335,5,1,3,1
3336,3,1,3,1
3337,28,5,3,2
3338,6,5,3,2
3339,6,5,3,2
3340,11,1,3,1
3341,11,5,3,2
3342,3,5,3,2
3343,3,5,3,2
3344,11,1,3,1
3345,3,5,3,2
3346,3,1,3,1
3347,11,5,3,2
3348,5,5,3,2
3349,11,5,3,2
3350,9,5,3,2
3351,6,1,3,1
3352,5,5,3,2
3353,12,1,3,1
3354,3,1,3,1
3355,6,5,3,2
3356,6,1,3,1
3357,3,1,3,1
3358,3,5,3,2
3359,3,1,3,1
3360,6,5,3,2
3361,3,1,3,1
3362,22,5,3,2
3363,11,5,3,2
3364,6,5,3,2
3365,6,5,3,2
3366,6,1,3,1
3367,6,5,3,2
3368,6,5,3,2
3369,5,5,3,2
3370,6,5,3,2
3371,1,7,2,2
3372,12,1,3,1
3373,12,5,3,2
3374,12,1,3,1
3375,11,1,3,1
3376,11,1,3,1
3377,11,5,3,2
3378,3,5,3,2
3379,24,1,3,1
3380,6,1,3,1
3381,6,1,3,1
3382,3,1,3,1
3383,3,5,3,2
3384,5,5,3,2
3385,3,1,3,1
3386,5,5,3,2
3387,1,7,2,2
3388,1,3,2,1
3389,3,1,3,1
3390,6,3,2,1
3391,6,3,2,1
3392,1,3,2,1
3393,1,7,2,2
3394,1,3,2,1
3395,7,2,3,1
3396,6,1,3,1
3397,6,5,3,2
3398,6,1,3,1
3399,3,1,3,1
3400,3,1,3,1
3401,6,1,3,1
3402,6,5,3,2
3403,6,1,3,1
3404,3,1,3,1
3405,6,1,3,1
3406,3,5,3,2
3407,5,5,3,2
3408,6,5,3,2
3409,6,5,3,2
3410,6,1,3,1
3411,6,5,3,2
3412,6,5,3,2
3413,6,5,3,2
3414,6,1,3,1
3415,27,1,3,1
3416,5,5,3,2
3417,11,1,3,1
3418,5,5,3,2
3419,11,5,3,2
3420,3,1,3,1
3421,3,5,3,2
3422,3,5,3,2
3423,6,5,3,2
3424,6,5,3,2
3425,6,1,3,1
3426,11,5,3,2
3427,6,5,3,2
3428,3,5,3,2
3429,3,5,3,2
3430,3,5,3,2
3431,3,1,3,1
3432,6,5,3,2
3433,6,5,3,2
3434,21,8,1,2
3435,17,8,1,2
3436,17,8,1,2
3437,17,4,1,1
3438,17,8,1,2
3439,6,1,3,1
3440,11,1,3,1
3441,3,1,3,1
3442,5,5,3,2
3443,3,1,3,1
3444,6,5,3,2
3445,28,5,3,2
3446,29,5,3,2
3447,1,7,2,2
3448,9,5,3,2
3449,6,1,3,1
3450,6,1,3,1
3451,6,5,3,2
3452,3,5,3,2
3453,29,1,3,1
3454,3,5,3,2
3455,11,1,3,1
3456,11,5,3,2
3457,11,5,3,2
3458,11,5,3,2
3459,22,5,3,2
3460,22,1,3,1
3461,28,1,3,1
3462,28,1,3,1
3463,28,1,3,1
3464,6,1,3,1
3465,6,5,3,2
3466,6,1,3,1
3467,12,5,3,2
3468,12,1,3,1
3469,22,5,3,2
3470,6,1,3,1
3471,6,1,3,1
3472,6,1,3,1
3473,6,1,3,1
3474,6,1,3,1
3475,28,5,3,2
3476,28,5,3,2
3477,5,5,3,2
3478,6,1,3,1
3479,6,1,3,1
3480,6,5,3,2
3481,3,5,3,2
3482,12,1,3,1
3483,12,1,3,1
3484,12,1,3,1
3485,12,5,3,2
3486,3,5,3,2
3487,3,5,3,2
3488,3,5,3,2
3489,12,1,3,1
3490,3,1,3,1
3491,3,5,3,2
3492,22,1,3,1
3493,11,1,3,1
3494,3,1,3,1
3495,29,1,3,1
3496,5,5,3,2
3497,3,1,3,1
3498,12,5,3,2
3499,28,1,3,1
3500,20,8,1,2
3501,6,5,3,2
3502,18,8,1,2
3503,6,1,3,1
3504,5,5,3,2
3505,3,5,3,2
3506,3,5,3,2
3507,3,1,3,1
3508,3,5,3,2
3509,6,1,3,1
3510,9,1,3,1
3511,6,5,3,2
3512,6,5,3,2
3513,3,1,3,1
3514,3,5,3,2
3515,6,1,3,1
3516,6,1,3,1
3517,6,1,3,1
3518,5,5,3,2
3519,5,5,3,2
3520,3,1,3,1
3521,3,1,3,1
3522,6,5,3,2
3523,3,5,3,2
3524,11,5,3,2
3525,9,1,3,1
3526,11,1,3,1
3527,3,5,3,2
3528,3,1,3,1
3529,3,1,3,1
3530,6,1,3,1
3531,3,5,3,2
3532,12,5,3,2
3533,6,2,3,1
3534,17,4,1,1
3535,11,8,1,2
3536,11,8,1,2
3537,6,5,3,2
3538,1,3,2,1
3539,1,3,2,1
3540,1,3,2,1
3541,9,3,2,1
3542,1,7,2,2
3543,1,7,2,2
3544,1,7,2,2
3545,1,7,2,2
3546,1,7,2,2
3547,1,7,2,2
3548,1,7,2,2
3549,3,5,3,2
3550,3,1,3,1
3551,3,5,3,2
3552,3,5,3,2
3553,6,1,3,1
3554,11,5,3,2
3555,6,5,3,2
3556,6,5,3,2
3557,6,5,3,2
3558,6,5,3,2
3559,6,1,3,1
3560,3,5,3,2
3561,11,1,3,1
3562,6,2,3,1
3563,6,2,3,1
3564,6,6,3,2
3565,6,5,3,2
3566,29,5,3,2
3567,6,1,3,1
3568,3,5,3,2
3569,3,1,3,1
3570,3,2,3,1
3571,3,2,3,1
3572,3,6,3,2
3573,29,5,3,2
3574,6,5,3,2
3575,6,1,3,1
3576,6,5,3,2
3577,3,1,3,1
3578,3,1,3,1
3579,6,1,3,1
3580,6,1,3,1
3581,6,1,3,1
3582,6,1,3,1
3583,6,1,3,1
3584,6,5,3,2
3585,6,1,3,1
3586,3,5,3,2
3587,28,1,3,1
3588,28,1,3,1
3589,11,1,3,1
3590,3,1,3,1
3591,5,1,3,1
3592,5,1,3,1
3593,5,1,3,1
3594,6,5,3,2
3595,3,1,3,1
3596,6,1,3,1
3597,6,5,3,2
3598,28,1,3,1
3599,6,1,3,1
3600,3,1,3,1
3601,6,5,3,2
3602,6,1,3,1
3603,6,5,3,2
3604,6,1,3,1
3605,6,5,3,2
3606,6,5,3,2
3607,6,1,3,1
3608,3,1,3,1
3609,3,5,3,2
3610,6,5,3,2
3611,6,5,3,2
3612,6,1,3,1
3613,6,5,3,2
3614,6,6,3,2
3615,3,1,3,1
3616,3,1,3,1
3617,11,1,3,1
3618,6,5,3,2
3619,6,1,3,1
3620,6,1,3,1
3621,6,1,3,1
3622,6,1,3,1
3623,3,1,3,1
3624,28,5,3,2
3625,28,5,3,2
3626,5,5,3,2
3627,6,1,3,1
3628,6,1,3,1
3629,3,5,3,2
3630,3,5,3,2
3631,3,5,3,2
3632,9,1,3,1
3633,29,5,3,2
3634,3,1,3,1
3635,29,5,3,2
3636,3,5,3,2
3637,3,6,3,2
3638,29,1,3,1
3639,11,1,3,1
3640,11,1,3,1
3641,29,5,3,2
3642,6,1,3,1
3643,6,5,3,2
3644,3,1,3,1
3645,6,1,3,1
3646,3,1,3,1
3647,6,5,3,2
3648,29,5,3,2
3649,29,5,3,2
3650,9,5,3,2
3651,29,5,3,2
3652,3,5,3,2
3653,6,1,3,1
3654,6,5,3,2
3655,6,5,3,2
3656,9,1,3,1
3657,29,2,3,1
3658,29,2,3,1
3659,29,6,3,2
3660,29,2,3,1
3661,11,5,3,2
3662,6,5,3,2
3663,6,5,3,2
3664,19,4,1,1
3665,3,2,3,1
3666,6,4,1,1
3667,29,5,3,2
3668,5,1,3,1
3669,6,5,3,2
3670,28,1,3,1
3671,6,5,3,2
3672,3,1,3,1
3673,29,1,3,1
3674,3,5,3,2
3675,11,1,3,1
3676,29,1,3,1
3677,3,5,3,2
3678,3,5,3,2
3679,3,5,3,2
3680,3,1,3,1
3681,3,5,3,2
3682,3,5,3,2
3683,9,5,3,2
3684,3,5,3,2
3685,6,1,3,1
3686,6,1,3,1
3687,6,5,3,2
3688,3,5,3,2
3689,3,1,3,1
3690,29,1,3,1
3691,29,6,3,2
3692,1,7,2,2
3693,28,1,3,1
3694,5,1,3,1
3695,1,3,2,1
3696,1,7,2,2
3697,18,8,1,2
3698,3,8,1,2
3699,1,7,2,2
3700,18,4,1,1
3701,18,4,1,1
3702,16,4,1,1
3703,1,7,2,2
3704,1,7,2,2
3705,6,5,3,2
3706,6,1,3,1
3707,6,1,3,1
3708,6,1,3,1
3709,6,6,3,2
3710,6,2,3,1
3711,3,5,3,2
3712,3,1,3,1
3713,6,2,3,1
3714,6,6,3,2
3715,3,5,3,2
3716,5,1,3,1
3717,5,5,3,2
3718,5,5,3,2
3719,3,5,3,2
3720,6,5,3,2
3721,3,1,3,1
3722,3,1,3,1
3723,6,1,3,1
3724,6,1,3,1
3725,3,5,3,2
3726,6,5,3,2
3727,25,5,3,2
3728,6,5,3,2
3729,6,5,3,2
3730,3,5,3,2
3731,3,1,3,1
3732,6,1,3,1
3733,3,1,3,1
3734,5,5,3,2
3735,3,5,3,2
3736,6,5,3,2
3737,3,5,3,2
3738,3,5,3,2
3739,6,5,3,2
3740,6,5,3,2
3741,6,5,3,2
3742,6,1,3,1
3743,6,1,3,1
3744,6,5,3,2
3745,7,1,3,1
3746,5,5,3,2
3747,5,1,3,1
3748,6,1,3,1
3749,6,5,3,2
3750,6,1,3,1
3751,6,1,3,1
3752,6,5,3,2
3753,6,5,3,2
3754,5,5,3,2
3755,3,5,3,2
3756,6,5,3,2
3757,3,1,3,1
3758,3,5,3,2
3759,3,5,3,2
3760,6,1,3,1
3761,3,1,3,1
3762,6,1,3,1
3763,6,1,3,1
3764,6,5,3,2
3765,6,1,3,1
3766,12,2,3,1
3767,3,6,3,2
3768,9,6,3,2
3769,3,6,3,2
3770,6,5,3,2
3771,6,5,3,2
3772,6,5,3,2
3773,6,5,3,2
3774,6,5,3,2
3775,6,5,3,2
3776,6,1,3,1
3777,12,1,3,1
3778,3,1,3,1
3779,29,5,3,2
3780,3,1,3,1
3781,6,5,3,2
3782,5,1,3,1
3783,3,5,3,2
3784,3,5,3,2
3785,11,5,3,2
3786,3,5,3,2
3787,3,6,3,2
3788,3,1,3,1
3789,3,1,3,1
3790,5,5,3,2
3791,3,5,3,2
3792,6,1,3,1
3793,6,5,3,2
3794,5,5,3,2
3795,-2,1,3,1
3796,3,5,3,2
3797,6,5,3,2
3798,6,5,3,2
3799,6,5,3,2
3800,3,5,3,2
3801,6,1,3,1
3802,6,5,3,2
3803,3,1,3,1
3804,3,5,3,2
3805,3,1,3,1
3806,3,5,3,2
3807,3,1,3,1
3808,6,1,3,1
3809,6,5,3,2
3810,6,1,3,1
3811,6,1,3,1
3812,6,5,3,2
3813,6,5,3,2
3814,3,5,3,2
3815,3,1,3,1
3816,24,1,3,1
3817,3,5,3,2
3818,3,1,3,1
3819,1,7,2,2
3820,1,7,2,2
3821,1,7,2,2
3822,1,3,2,1
3823,1,7,2,2
3824,1,7,2,2
3825,1,3,2,1
3826,10,7,2,2
3827,1,3,2,1
3828,1,7,2,2
3829,3,1,3,1
3830,6,1,3,1
3831,3,1,3,1
3832,28,5,3,2
3833,11,1,3,1
3834,3,5,3,2
3835,12,5,3,2
3836,6,5,3,2
3837,6,5,3,2
3838,6,1,3,1
3839,9,5,3,2
3840,1,3,2,1
3841,6,2,3,1
3842,11,7,2,2
3843,3,5,3,2
3844,28,1,3,1
3845,28,1,3,1
3846,3,5,3,2
3847,6,1,3,1
3848,6,1,3,1
3849,6,5,3,2
3850,5,5,3,2
3851,5,5,3,2
3852,5,1,3,1
3853,11,8,1,2
3854,3,1,3,1
3855,3,5,3,2
3856,5,1,3,1
3857,3,1,3,1
3858,9,5,3,2
3859,9,5,3,2
3860,3,1,3,1
3861,3,1,3,1
3862,3,1,3,1
3863,3,1,3,1
3864,28,6,3,2
3865,3,1,3,1
3866,3,2,3,1
3867,3,5,3,2
3868,3,1,3,1
3869,3,1,3,1
3870,6,1,3,1
3871,28,1,3,1
3872,28,5,3,2
3873,28,1,3,1
3874,6,1,3,1
3875,6,1,3,1
3876,6,5,3,2
3877,3,5,3,2
3878,3,1,3,1
3879,3,5,3,2
3880,3,1,3,1
3881,3,1,3,1
3882,11,1,3,1
3883,3,1,3,1
3884,3,1,3,1
3885,6,1,3,1
3886,6,1,3,1
3887,28,1,3,1
3888,3,1,3,1
3889,3,5,3,2
3890,6,1,3,1
3891,3,5,3,2
3892,3,1,3,1
3893,11,5,3,2
3894,3,1,3,1
3895,6,1,3,1
3896,6,5,3,2
3897,6,5,3,2
3898,6,1,3,1
3899,28,5,3,2
3900,28,5,3,2
3901,11,1,3,1
3902,9,1,3,1
3903,3,5,3,2
3904,3,1,3,1
3905,9,1,3,1
3906,11,5,3,2
3907,28,1,3,1
3908,3,6,3,2
3909,5,1,3,1
3910,3,1,3,1
3911,1,5,3,2
3912,1,5,3,2
3913,3,5,3,2
3914,3,5,3,2
3915,3,5,3,2
3916,28,2,3,1
3917,28,1,3,1
3918,22,5,3,2
3919,11,5,3,2
3920,9,1,3,1
3921,6,5,3,2
3922,3,5,3,2
3923,3,5,3,2
3924,3,5,3,2
3925,22,1,3,1
3926,22,1,3,1
3927,3,5,3,2
3928,3,5,3,2
3929,3,5,3,2
3930,11,1,3,1
3931,1,7,2,2
3932,1,3,2,1
3933,1,3,2,1
3934,1,7,2,2
3935,1,7,2,2
3936,1,7,2,2
3937,1,3,2,1
3938,1,7,2,2
3939,1,7,2,2
3940,1,7,2,2
3941,1,3,2,1
3942,1,3,2,1
3943,1,3,2,1
3944,1,7,2,2
3945,1,7,2,2
3946,1,3,2,1
3947,1,7,2,2
3948,1,7,2,2
3949,1,3,2,1
3950,1,3,2,1
3951,1,3,2,1
3952,1,7,2,2
3953,1,7,2,2
3954,1,3,2,1
3955,1,3,2,1
3956,1,3,2,1
3957,1,3,2,1
3958,1,3,2,1
3959,1,7,2,2
3960,1,7,2,2
3961,3,1,3,1
3962,3,5,3,2
3963,29,1,3,1
3964,3,5,3,2
3965,3,1,3,1
3966,1,3,2,1
3967,15,4,1,1
3968,25,1,3,1
3969,3,5,3,2
3970,6,5,3,2
3971,25,1,3,1
3972,11,5,3,2
3973,11,1,3,1
3974,1,3,2,1
3975,1,7,2,2
3976,1,3,2,1
3977,1,7,2,2
3978,1,7,2,2
3979,6,1,3,1
3980,6,1,3,1
3981,29,2,3,1
3982,3,6,3,2
3983,3,5,3,2
3984,3,1,3,1
3985,9,1,3,1
3986,5,5,3,2
3987,1,3,2,1
3988,1,7,2,2
3989,3,1,3,1
3990,3,1,3,1
3991,3,5,3,2
3992,5,5,3,2
3993,9,5,3,2
3994,3,1,3,1
3995,1,7,2,2
3996,1,7,2,2
3997,1,7,2,2
3998,5,5,3,2
3999,23,1,3,1
4000,23,1,3,1
4001,5,5,3,2
4002,3,5,3,2
4003,11,5,3,2
4004,6,1,3,1
4005,1,7,2,2
4006,1,3,2,1
4007,-3,7,2,2
4008,1,3,2,1
4009,3,1,3,1
4010,4,1,3,1
4011,3,1,3,1
4012,6,5,3,2
4013,4,1,3,1
4014,4,1,3,1
4015,1,7,2,2
4016,1,7,2,2
4017,1,7,2,2
4018,5,1,3,1
4019,6,5,3,2
4020,1,3,2,1
4021,1,7,2,2
4022,10,1,3,1
4023,6,5,3,2
4024,3,5,3,2
4025,6,1,3,1
4026,5,5,3,2
4027,11,5,3,2
4028,29,5,3,2
4029,6,1,3,1
4030,3,5,3,2
4031,3,1,3,1
4032,3,1,3,1
4033,11,5,3,2
4034,11,5,3,2
4035,3,5,3,2
4036,3,1,3,1
4037,3,5,3,2
4038,3,5,3,2
4039,29,5,3,2
4040,9,5,3,2
4041,3,5,3,2
4042,6,2,3,1
4043,6,2,3,1
4044,6,2,3,1
4045,9,6,3,2
4046,9,2,3,1
4047,3,2,3,1
4048,22,1,3,1
4049,22,5,3,2
4050,9,5,3,2
4051,11,5,3,2
4052,3,1,3,1
4053,6,5,3,2
4054,3,5,3,2
4055,24,1,3,1
4056,3,1,3,1
4057,28,5,3,2
4058,3,1,3,1
4059,6,1,3,1
4060,6,5,3,2
4061,11,1,3,1
4062,11,1,3,1
4063,6,1,3,1
4064,3,1,3,1
4065,3,5,3,2
4066,25,5,3,2
4067,9,2,3,1
4068,9,2,3,1
4069,1,3,2,1
4070,1,3,2,1
4071,1,7,2,2
4072,1,3,2,1
4073,1,3,2,1
4074,3,5,3,2
4075,6,5,3,2
4076,3,1,3,1
4077,3,5,3,2
4078,3,6,3,2
4079,-2,6,3,2
4080,3,5,3,2
4081,29,1,3,1
4082,-2,2,3,1
4083,3,5,3,2
4084,11,5,3,2
4085,3,5,3,2
4086,12,1,3,1
4087,6,1,3,1
4088,3,1,3,1
4089,6,5,3,2
4090,3,1,3,1
4091,6,1,3,1
4092,3,5,3,2
4093,6,5,3,2
4094,3,5,3,2
4095,3,5,3,2
4096,3,5,3,2
4097,3,5,3,2
4098,3,1,3,1
4099,3,5,3,2
4100,-2,5,3,2
4101,-2,2,3,1
4102,9,1,3,1
4103,0,5,3,2
4104,3,1,3,1
4105,11,5,3,2
4106,29,1,3,1
4107,6,5,3,2
4108,6,5,3,2
4109,3,5,3,2
4110,3,5,3,2
4111,29,1,3,1
4112,29,5,3,2
4113,29,1,3,1
4114,3,1,3,1
4115,29,5,3,2
4116,3,5,3,2
4117,29,2,3,1
4118,3,2,3,1
4119,29,2,3,1
4120,0,6,3,2
4121,29,6,3,2
4122,3,2,3,1
4123,1,7,2,2
4124,3,5,3,2
4125,3,5,3,2
4126,3,5,3,2
4127,6,1,3,1
4128,6,1,3,1
4129,6,1,3,1
4130,3,1,3,1
4131,1,7,2,2
4132,3,5,3,2
4133,29,5,3,2
4134,1,3,2,1
4135,1,3,2,1
4136,29,5,3,2
4137,5,1,3,1
4138,3,1,3,1
4139,29,1,3,1
4140,11,5,3,2
4141,29,1,3,1
4142,5,5,3,2
4143,29,1,3,1
4144,29,1,3,1
4145,6,5,3,2
4146,3,1,3,1
4147,29,5,3,2
4148,28,5,3,2
4149,1,7,2,2
4150,29,5,3,2
4151,29,5,3,2
4152,3,5,3,2
4153,9,5,3,2
4154,3,5,3,2
4155,9,1,3,1
4156,29,1,3,1
4157,3,5,3,2
4158,3,1,3,1
4159,6,1,3,1
4160,3,5,3,2
4161,3,1,3,1
4162,5,5,3,2
4163,6,5,3,2
4164,11,1,3,1
4165,29,1,3,1
4166,3,1,3,1
4167,11,5,3,2
4168,1,3,2,1
4169,1,7,2,2
4170,3,5,3,2
4171,6,1,3,1
4172,3,1,3,1
4173,1,7,2,2
4174,1,7,2,2
4175,1,7,2,2
4176,1,7,2,2
4177,3,5,3,2
4178,3,7,2,2
4179,1,7,2,2
4180,1,7,2,2
4181,1,3,2,1
4182,11,5,3,2
4183,15,4,1,1
4184,17,8,1,2
4185,20,8,1,2
4186,18,8,1,2
4187,17,8,1,2
4188,6,5,3,2
4189,3,2,3,1
4190,29,5,3,2
4191,6,1,3,1
4192,28,5,3,2
4193,11,1,3,1
4194,1,7,2,2
4195,1,7,2,2
4196,1,3,2,1
4197,1,7,2,2
4198,1,7,2,2
4199,1,7,2,2
4200,1,7,2,2
4201,1,3,2,1
4202,1,3,2,1
4203,1,7,2,2
4204,10,3,2,1
4205,1,3,2,1
4206,1,7,2,2
4207,1,3,2,1
4208,1,7,2,2
4209,1,3,2,1
4210,1,7,2,2
4211,1,3,2,1
4212,1,7,2,2
4213,1,3,2,1
4214,1,7,2,2
4215,1,7,2,2
4216,11,1,3,1
4217,3,1,3,1
4218,3,5,3,2
4219,3,5,3,2
4220,3,5,3,2
4221,29,1,3,1
4222,29,5,3,2
4223,29,5,3,2
4224,3,6,3,2
4225,5,1,3,1
4226,5,1,3,1
4227,5,5,3,2
4228,9,5,3,2
4229,28,1,3,1
4230,6,1,3,1
4231,3,5,3,2
4232,3,5,3,2
4233,3,1,3,1
4234,3,1,3,1
4235,11,1,3,1
4236,9,5,3,2
4237,28,1,3,1
4238,5,1,3,1
4239,5,1,3,1
4240,5,1,3,1
4241,3,5,3,2
4242,5,1,3,1
4243,3,4,1,1
4244,3,1,3,1
4245,3,1,3,1
4246,3,5,3,2
4247,3,1,3,1
4248,6,1,3,1
4249,3,5,3,2
4250,9,5,3,2
4251,11,5,3,2
4252,6,5,3,2
4253,3,1,3,1
4254,3,5,3,2
4255,11,5,3,2
4256,29,5,3,2
4257,3,5,3,2
4258,11,1,3,1
4259,1,3,2,1
4260,3,2,3,1
4261,22,2,3,1
4262,29,6,3,2
4263,9,2,3,1
4264,18,4,1,1
4265,18,8,1,2
4266,18,4,1,1
4267,18,5,3,2
4268,18,8,1,2
4269,18,4,1,1
4270,1,7,2,2
4271,1,3,2,1
4272,1,7,2,2
4273,18,4,1,1
4274,18,8,1,2
4275,17,8,1,2
4276,3,2,3,1
4277,6,6,3,2
4278,9,1,3,1
4279,3,1,3,1
4280,9,5,3,2
4281,29,5,3,2
4282,9,8,1,2
4283,29,5,3,2
4284,9,5,3,2
4285,9,1,3,1
4286,6,5,3,2
4287,27,5,3,2
4288,28,1,3,1
4289,3,1,3,1
4290,3,5,3,2
4291,17,8,1,2
4292,3,5,3,2
4293,3,1,3,1
4294,3,5,3,2
4295,9,6,3,2
4296,6,5,3,2
4297,9,1,3,1
4298,3,1,3,1
4299,9,1,3,1
4300,6,5,3,2
4301,29,1,3,1
4302,6,1,3,1
4303,9,1,3,1
4304,9,5,3,2
4305,9,5,3,2
4306,6,5,3,2
4307,5,1,3,1
4308,5,5,3,2
4309,3,1,3,1
4310,3,6,3,2
4311,1,3,2,1
4312,1,3,2,1
4313,1,3,2,1
4314,1,3,2,1
4315,1,3,2,1
4316,1,3,2,1
4317,1,3,2,1
4318,18,4,1,1
4319,18,8,1,2
4320,18,8,1,2
4321,18,4,1,1
4322,18,4,1,1
4323,1,7,2,2
4324,1,3,2,1
4325,6,5,3,2
4326,3,6,3,2
4327,3,2,3,1
4328,5,1,3,1
4329,3,1,3,1
4330,6,1,3,1
4331,3,1,3,1
4332,6,1,3,1
4333,6,1,3,1
4334,3,1,3,1
4335,3,1,3,1
4336,3,1,3,1
4337,3,5,3,2
4338,22,1,3,1
4339,6,5,3,2
4340,5,4,1,1
4341,17,8,1,2
4342,3,1,3,1
4343,3,1,3,1
4344,3,1,3,1
4345,5,5,3,2
4346,3,5,3,2
4347,6,1,3,1
4348,28,1,3,1
4349,3,1,3,1
4350,6,1,3,1
4351,3,5,3,2
4352,3,6,3,2
4353,3,5,3,2
4354,3,5,3,2
4355,5,1,3,1
4356,25,6,3,2
4357,3,1,3,1
4358,6,1,3,1
4359,17,4,1,1
4360,6,2,3,1
4361,17,4,1,1
4362,16,4,1,1
4363,17,4,1,1
4364,16,4,1,1
4365,3,1,3,1
4366,3,5,3,2
4367,5,5,3,2
4368,-2,5,3,2
4369,3,1,3,1
4370,6,1,3,1
4371,5,5,3,2
4372,6,5,3,2
4373,3,5,3,2
4374,1,3,2,1
4375,1,7,2,2
4376,3,5,3,2
4377,5,1,3,1
4378,6,5,3,2
4379,5,5,3,2
4380,3,1,3,1
4381,3,5,3,2
4382,3,1,3,1
4383,29,5,3,2
4384,28,1,3,1
4385,3,1,3,1
4386,11,5,3,2
4387,6,1,3,1
4388,3,1,3,1
4389,28,1,3,1
4390,6,1,3,1
4391,3,5,3,2
4392,6,5,3,2
4393,3,1,3,1
4394,3,1,3,1
4395,6,1,3,1
4396,5,5,3,2
4397,1,3,2,1
4398,3,2,3,1
4399,6,1,3,1
4400,6,5,3,2
4401,6,1,3,1
4402,6,1,3,1
4403,3,1,3,1
4404,1,7,2,2
4405,3,1,3,1
4406,6,1,3,1
4407,6,1,3,1
4408,3,5,3,2
4409,28,1,3,1
4410,28,1,3,1
4411,28,5,3,2
4412,18,4,1,1
4413,18,8,1,2
4414,17,8,1,2
4415,17,4,1,1
4416,17,8,1,2
4417,17,8,1,2
4418,13,1,3,1
4419,28,4,1,1
4420,28,4,1,1
4421,3,1,3,1
4422,3,5,3,2
4423,5,5,3,2
4424,5,5,3,2
4425,5,5,3,2
4426,28,1,3,1
4427,29,1,3,1
4428,11,5,3,2
4429,11,1,3,1
4430,1,1,3,1
4431,1,7,2,2
4432,9,1,3,1
4433,16,4,1,1
4434,28,5,3,2
4435,9,1,3,1
4436,9,1,3,1
4437,3,5,3,2
4438,28,5,3,2
4439,3,5,3,2
4440,3,5,3,2
4441,28,5,3,2
4442,3,5,3,2
4443,11,1,3,1
4444,11,5,3,2
4445,6,5,3,2
4446,3,1,3,1
4447,3,5,3,2
4448,3,1,3,1
4449,3,4,1,1
4450,3,5,3,2
4451,4,5,3,2
4452,4,5,3,2
4453,6,1,3,1
4454,12,1,3,1
4455,5,5,3,2
4456,28,5,3,2
4457,28,6,3,2
4458,3,5,3,2
4459,3,5,3,2
4460,3,1,3,1
4461,3,1,3,1
4462,1,3,2,1
4463,1,7,2,2
4464,1,7,2,2
4465,6,5,3,2
4466,3,1,3,1
4467,3,1,3,1
4468,3,1,3,1
4469,3,5,3,2
4470,3,1,3,1
4471,5,1,3,1
4472,3,5,3,2
4473,5,5,3,2
4474,3,5,3,2
4475,3,6,3,2
4476,9,5,3,2
4477,6,1,3,1
4478,3,5,3,2
4479,6,5,3,2
4480,1,3,2,1
4481,3,5,3,2
4482,3,5,3,2
4483,9,6,3,2
4484,28,1,3,1
4485,3,5,3,2
4486,1,3,2,1
4487,6,5,3,2
4488,6,5,3,2
4489,6,1,3,1
4490,3,5,3,2
4491,10,2,3,1
4492,10,2,3,1
4493,4,5,3,2
4494,4,5,3,2
4495,4,5,3,2
4496,6,5,3,2
4497,1,2,3,1
4498,1,2,3,1
4499,1,6,3,2
4500,12,2,3,1
4501,12,2,3,1
4502,12,2,3,1
4503,12,2,3,1
4504,12,2,3,1
4505,12,6,3,2
4506,3,6,3,2
4507,3,2,3,1
4508,3,2,3,1
4509,3,1,3,1
4510,-2,2,3,1
4511,12,1,3,1
4512,7,2,3,1
4513,18,4,1,1
4514,6,1,3,1
4515,2,1,3,1
4516,2,5,3,2
4517,6,1,3,1
4518,6,1,3,1
4519,6,1,3,1
4520,6,1,3,1
4521,3,5,3,2
4522,6,5,3,2
4523,6,5,3,2
4524,18,4,1,1
4525,22,6,3,2
4526,3,5,3,2
4527,21,8,1,2
4528,3,5,3,2
4529,28,1,3,1
4530,3,5,3,2
4531,3,1,3,1
4532,17,4,1,1
4533,17,8,1,2
4534,5,5,3,2
4535,29,1,3,1
4536,6,5,3,2
4537,1,7,2,2
4538,6,5,3,2
4539,6,5,3,2
4540,6,1,3,1
4541,21,8,1,2
4542,9,4,1,1
4543,9,8,1,2
4544,9,8,1,2
4545,6,1,3,1
4546,6,5,3,2
4547,6,1,3,1
4548,6,1,3,1
4549,3,1,3,1
