"R0000100","R0009600","R0173600","R0214700","R0214800"
318,3,1,3,1
319,6,5,3,2
320,6,1,3,1
321,6,5,3,2
322,6,5,3,2
323,12,1,3,1
324,12,1,3,1
325,12,1,3,1
326,11,5,3,2
327,3,5,3,2
328,19,4,1,1
329,19,4,1,1
330,19,4,1,1
331,19,4,1,1
332,19,4,1,1
333,1,7,2,2
334,1,3,2,1
335,1,7,2,2
336,1,3,2,1
337,1,3,2,1
338,1,7,2,2
339,1,7,2,2
340,1,7,2,2
341,3,5,3,2
342,6,1,3,1
343,1,7,2,2
344,3,5,3,2
345,1,7,2,2
346,12,1,3,1
347,12,5,3,2
348,12,1,3,1
349,12,1,3,1
350,12,1,3,1
351,5,1,3,1
352,5,5,3,2
353,11,1,3,1
354,11,5,3,2
355,11,1,3,1
356,3,1,3,1
357,11,1,3,1
358,11,1,3,1
359,3,5,3,2
360,3,5,3,2
361,12,1,3,1
362,3,1,3,1
363,3,5,3,2
364,11,1,3,1
365,11,5,3,2
366,11,1,3,1
367,6,5,3,2
368,1,7,2,2
369,3,5,3,2
370,3,5,3,2
371,3,5,3,2
372,3,1,3,1
373,23,5,3,2
374,23,5,3,2
375,23,1,3,1
376,23,2,3,1
377,1,3,2,1
378,1,3,2,1
379,1,7,2,2
380,29,3,2,1
381,1,3,2,1
382,1,7,2,2
383,1,3,2,1
384,1,3,2,1
385,1,7,2,2
386,1,7,2,2
387,1,3,2,1
388,1,7,2,2
389,6,5,3,2
390,1,7,2,2
391,1,7,2,2
392,3,1,3,1
393,5,1,3,1
394,1,3,2,1
395,1,7,2,2
396,1,3,2,1
397,1,7,2,2
398,1,3,2,1
399,6,5,3,2
400,6,5,3,2
401,3,5,3,2
402,6,5,3,2
403,3,1,3,1
404,3,1,3,1
405,3,5,3,2
406,3,1,3,1
407,6,5,3,2
408,3,1,3,1
409,3,2,3,1
410,6,1,3,1
411,3,1,3,1
412,3,1,3,1
413,3,1,3,1
414,3,5,3,2
415,3,1,3,1
416,12,5,3,2
417,12,1,3,1
418,12,5,3,2
419,3,1,3,1
420,3,1,3,1
421,28,1,3,1
422,28,1,3,1
423,22,5,3,2
424,3,1,3,1
425,3,5,3,2
426,3,4,1,1
427,28,5,3,2
428,5,5,3,2
429,28,1,3,1
430,28,1,3,1
431,5,5,3,2
432,22,1,3,1
433,3,1,3,1
434,3,1,3,1
435,6,1,3,1
436,6,5,3,2
437,6,5,3,2
438,6,6,3,2
439,6,5,3,2
440,3,1,3,1
441,3,1,3,1
442,3,5,3,2
443,3,1,3,1
444,25,5,3,2
445,3,1,3,1
446,6,6,3,2
447,3,1,3,1
448,6,1,3,1
449,3,5,3,2
450,6,1,3,1
451,6,1,3,1
452,3,6,3,2
453,6,1,3,1
454,3,5,3,2
455,3,5,3,2
456,6,1,3,1
457,6,1,3,1
458,6,5,3,2
459,6,5,3,2
460,22,5,3,2
461,3,1,3,1
462,3,5,3,2
463,6,1,3,1
464,6,1,3,1
465,6,5,3,2
466,6,1,3,1
467,6,5,3,2
468,6,1,3,1
469,19,4,1,1
470,5,2,3,1
471,3,5,3,2
472,5,5,3,2
473,5,1,3,1
474,5,5,3,2
475,5,5,3,2
476,3,5,3,2
477,9,1,3,1
478,9,6,3,2
479,6,1,3,1
480,25,1,3,1
481,6,1,3,1
482,6,1,3,1
483,6,1,3,1
484,3,1,3,1
485,11,5,3,2
486,11,1,3,1
487,3,5,3,2
488,22,1,3,1
489,11,1,3,1
490,5,1,3,1
491,5,5,3,2
492,5,5,3,2
493,3,1,3,1
494,5,5,3,2
495,5,5,3,2
496,3,5,3,2
497,12,1,3,1
498,6,1,3,1
499,6,5,3,2
500,3,5,3,2
501,5,5,3,2
502,3,1,3,1
503,0,5,3,2
504,3,5,3,2
505,6,1,3,1
506,5,5,3,2
507,5,5,3,2
508,28,1,3,1
509,3,1,3,1
510,22,5,3,2
511,22,1,3,1
512,12,1,3,1
513,1,3,2,1
514,1,7,2,2
515,28,5,3,2
516,1,3,2,1
517,1,3,2,1
518,1,3,2,1
519,1,7,2,2
520,1,3,2,1
521,1,3,2,1
522,1,7,2,2
523,1,3,2,1
524,1,3,2,1
525,1,7,2,2
526,6,1,3,1
527,3,5,3,2
528,22,5,3,2
529,3,5,3,2
530,29,5,3,2
531,22,1,3,1
532,29,5,3,2
533,6,5,3,2
534,5,1,3,1
535,6,1,3,1
536,3,5,3,2
537,3,1,3,1
538,29,1,3,1
539,28,1,3,1
540,3,1,3,1
541,3,1,3,1
542,6,5,3,2
543,12,1,3,1
544,12,5,3,2
545,22,1,3,1
546,12,5,3,2
547,3,1,3,1
548,6,5,3,2
549,3,1,3,1
550,3,5,3,2
551,11,5,3,2
552,11,5,3,2
553,11,1,3,1
554,11,1,3,1
555,5,1,3,1
556,6,1,3,1
557,6,5,3,2
558,6,5,3,2
559,6,1,3,1
560,6,1,3,1
561,5,5,3,2
562,5,1,3,1
563,7,5,3,2
564,12,1,3,1
565,12,1,3,1
566,12,5,3,2
567,6,5,3,2
568,6,5,3,2
569,29,1,3,1
570,3,1,3,1
571,12,1,3,1
572,12,5,3,2
573,28,1,3,1
574,28,5,3,2
575,3,1,3,1
576,6,5,3,2
577,6,5,3,2
578,28,1,3,1
579,11,5,3,2
580,11,1,3,1
581,12,1,3,1
